,Rainfall,LakeLevel,AverageGate,FlowRate,y_step_1,y_step_2,y_step_3
2018-01-01,2.42,279.17458331982294,300.0,17.120989267132693,300.0,500.0,500.0
2018-01-02,11.132,279.1688333218296,500.0,23.67942872499284,500.0,500.0,500.0
2018-01-03,5.324,279.165041646858,500.0,23.62479131903108,500.0,500.0,1400.0
2018-01-04,122.93599999999999,279.20999998251597,500.0,24.407485814262277,500.0,1400.0,1400.0
2018-01-05,53.724,279.3479583228628,1400.0,41.0851295193022,1400.0,1400.0,1400.0
2018-01-06,21.296,279.31716665029523,1400.0,40.49273016606753,1400.0,1400.0,1400.0
2018-01-07,18.392,279.30112498899297,1400.0,39.870602601175634,1400.0,1400.0,1400.0
2018-01-08,0.0,279.2681249866883,1400.0,38.78174336191903,1400.0,1400.0,1400.0
2018-01-09,0.0,279.2377916490038,1400.0,37.95983960621764,1400.0,1400.0,499.0
2018-01-10,0.0,279.20749998738364,1400.0,36.698625484120114,1400.0,499.0,550.0
2018-01-11,0.0,279.19104165236155,499.0,25.46458378787955,499.0,550.0,550.0
2018-01-12,0.0,279.1966666544477,550.0,25.59073892306605,550.0,550.0,550.0
2018-01-13,0.0,279.19824998478094,550.0,25.604780233322167,550.0,550.0,550.0
2018-01-14,0.0,279.1977083176374,550.0,25.63286141800295,550.0,550.0,550.0
2018-01-15,1.974,279.199249989291,550.0,25.604780233322167,550.0,550.0,1400.0
2018-01-16,1.4805,279.2048749814431,550.0,25.646906546232174,550.0,1400.0,1400.0
2018-01-17,0.4935,279.18820832073686,1400.0,35.499116465472056,1400.0,1400.0,1400.0
2018-01-18,5.4285,279.16362497856215,1400.0,34.437477846364345,1400.0,1400.0,549.0
2018-01-19,6.909,279.14645832180975,1400.0,33.87990671689214,1400.0,549.0,549.0
2018-01-20,0.0,279.1312916629016,549.0,24.531882114840194,549.0,549.0,549.0
2018-01-21,0.0,279.13074999824164,549.0,24.42129267056875,549.0,549.0,549.0
2018-01-22,0.987,279.13141666377584,549.0,24.448917055005325,549.0,549.0,549.0
2018-01-23,6.909,279.1344999921818,549.0,24.587212122234654,549.0,549.0,549.0
2018-01-24,0.0,279.13345832402507,549.0,24.53186739216414,549.0,549.0,549.0
2018-01-25,0.0,279.13199999332426,549.0,24.53186739216414,549.0,549.0,549.0
2018-01-26,26.15549999999999,279.14241665874914,549.0,24.55953443081762,549.0,549.0,549.0
2018-01-27,0.4935,279.16037498563526,549.0,24.934108401823636,549.0,549.0,549.0
2018-01-28,0.0,279.1593333100279,549.0,24.836803340749,549.0,549.0,549.0
