,Rainfall_lead_1,Rainfall_lead_2,Rainfall_lead_3,Rainfall,LakeLevel,y_step_1,y_step_2,y_step_3
2018-01-01,0.628522372182629,0.10324873372245574,10.742099054252916,-0.15984541730085738,0.8476895773796227,300.0,500.0,500.0
2018-01-02,0.10291316865351062,10.745027538255057,4.481393694223095,0.6287840401621622,0.7601713285177164,500.0,500.0,500.0
2018-01-03,10.746499540118158,4.482581575093897,1.548056217845486,0.10303106852014914,0.7024598729397963,500.0,500.0,1400.0
2018-01-04,4.482989864729498,1.5484285713750314,1.2853692796624165,10.749528744270913,1.3867513827945073,500.0,1400.0,1400.0
2018-01-05,1.548338478358586,1.285668600892745,-0.3783146621636901,4.4843058322035905,3.486556004816196,1400.0,1400.0,1400.0
2018-01-06,1.285533876594027,-0.3784778788284028,-0.3783146621636901,1.548851740535685,3.017889186887171,1400.0,1400.0,1400.0
2018-01-07,-0.3788952679148479,-0.3784778788284028,-0.3783146621636901,1.2859752547146786,2.773725952807021,1400.0,1400.0,1400.0
2018-01-08,-0.3788952679148479,-0.3784778788284028,-0.3783146621636901,-0.37890915548502946,2.2714470967995766,1400.0,1400.0,1400.0
2018-01-09,-0.3788952679148479,-0.3784778788284028,-0.3783146621636901,-0.37890915548502946,1.8097563971930215,1400.0,1400.0,499.0
2018-01-10,-0.3788952679148479,-0.3784778788284028,-0.3783146621636901,-0.37890915548502946,1.3487000310553405,1400.0,499.0,550.0
2018-01-11,-0.3788952679148479,-0.3784778788284028,-0.3783146621636901,-0.37890915548502946,1.0981947853174223,499.0,550.0,550.0
2018-01-12,-0.3788952679148479,-0.3784778788284028,-0.19975267319214077,-0.37890915548502946,1.1838105251829,550.0,550.0,550.0
2018-01-13,-0.3788952679148479,-0.19986624600056752,-0.2443931704350281,-0.37890915548502946,1.2079097158773635,550.0,550.0,550.0
2018-01-14,-0.2002532968806744,-0.24451915420752635,-0.33367416492080276,-0.37890915548502946,1.199665233023285,550.0,550.0,550.0
2018-01-15,-0.24491378963921778,-0.33382497062144395,0.11273080750807045,-0.2002183211149651,1.2231303548540304,550.0,550.0,1400.0
2018-01-16,-0.3342347751563045,0.11270411144814406,0.24665229923673243,-0.2448910297074812,1.3087459435173037,550.0,1400.0,1400.0
2018-01-17,0.1123701524291292,0.24666283606902048,-0.3783146621636901,-0.33423644689251336,1.0550698620523327,1400.0,1400.0,1400.0
2018-01-18,0.24635163070475935,-0.3784778788284028,-0.3783146621636901,0.11249063903264746,0.6808973735067002,1400.0,1400.0,549.0
2018-01-19,-0.3788952679148479,-0.3784778788284028,-0.28903366767791544,0.24650876481019574,0.4196110670554223,1400.0,549.0,549.0
2018-01-20,-0.3788952679148479,-0.2891720624144851,0.24665229923673243,-0.37890915548502946,0.18876586845521454,549.0,549.0,549.0
2018-01-21,-0.2895742823977612,0.24666283606902048,-0.3783146621636901,-0.37890915548502946,0.18052142340211993,549.0,549.0,549.0
2018-01-22,0.24635163070475935,-0.3784778788284028,-0.3783146621636901,-0.28956373829999726,0.19066845305274532,549.0,549.0,549.0
2018-01-23,-0.3788952679148479,-0.3784778788284028,1.987631691709337,0.24650876481019574,0.23759846991006403,549.0,549.0,549.0
2018-01-24,-0.3788952679148479,1.988126256140413,-0.33367416492080276,-0.37890915548502946,0.22174368646857667,549.0,549.0,549.0
2018-01-25,1.9881108482879501,-0.33382497062144395,-0.3783146621636901,-0.37890915548502946,0.19954706147071954,549.0,549.0,549.0
2018-01-26,-0.3342347751563045,-0.3784778788284028,-0.3783146621636901,1.9887443999183223,0.35809465018655323,549.0,549.0,549.0
2018-01-27,-0.3788952679148479,-0.3784778788284028,-0.3783146621636901,-0.33423644689251336,0.6314306275870304,549.0,549.0,549.0
2018-01-28,-0.3788952679148479,-0.3784778788284028,-0.3783146621636901,-0.37890915548502946,0.6155757307425919,549.0,549.0,549.0
2018-01-29,-0.3788952679148479,-0.3784778788284028,1.8537101999806758,-0.37890915548502946,0.5743534298760166,549.0,549.0,549.0
2018-01-30,-0.3788952679148479,1.8541675315195374,3.282206111753069,-0.37890915548502946,0.5242524260894403,549.0,549.0,549.0
2018-01-31,1.8541293700123207,3.2830605941422175,-0.19975267319214077,-0.37890915548502946,0.44180769205327936,549.0,549.0,1200.0
2018-02-01,3.283265138285708,-0.19986624600056752,-0.3783146621636901,1.8547262741407746,0.49444555720435196,549.0,1200.0,1200.0
2018-02-02,-0.2002532968806744,-0.3784778788284028,-0.3783146621636901,3.284252949101288,1.4463652339659048,1200.0,1200.0,549.0
2018-02-03,-0.3788952679148479,-0.3784778788284028,-0.3783146621636901,-0.2002183211149651,1.1045366457729862,1200.0,549.0,600.0
2018-02-04,-0.3788952679148479,-0.3784778788284028,-0.3783146621636901,-0.37890915548502946,0.8216051122449574,549.0,600.0,600.0
2018-02-05,-0.3788952679148479,-0.3784778788284028,-0.3783146621636901,-0.37890915548502946,0.7563661971245037,600.0,600.0,600.0
2018-02-06,-0.3788952679148479,-0.3784778788284028,1.45194572479469,-0.37890915548502946,0.6028920098314642,600.0,600.0,600.0
2018-02-07,-0.3788952679148479,1.4522913576569083,2.434036664138211,-0.37890915548502946,0.5768901967384862,600.0,600.0,600.0
2018-02-08,1.4521849351854303,2.434655338210002,4.041094564882155,-0.37890915548502946,0.3917067071667624,600.0,600.0,589.0
2018-02-09,2.434715775873385,4.042160033660519,3.5054085979675063,1.45267189680813,0.3948776751950955,600.0,589.0,589.0
2018-02-10,4.042493515180946,3.506325135177012,0.15737130475095776,2.435471485843484,0.8134433192335501,589.0,589.0,1400.0
